$..1...||..2...||..3...||..4...||..5...||..6...||..7...||..8...||..9...||..10..|
LOAD     1       1.0000  1.0000  101     1.0000  102     
FORCE    102     10221   0       6.13+03 -0.03   0.31    0.95   
FORCE    102     12284   0       2.29+03 0.02    0.32    0.95   
FORCE    102     10109   0       1.01+03 -0.08   0.36    0.93   
FORCE    102     12301   0       383.24  -0.01   0.23    0.97   
FORCE    102     12286   0       3.11+03 0.01    0.33    0.94   
FORCE    102     10185   0       4.63+03 -0.03   0.32    0.95   
FORCE    102     10125   0       921.70  0.01    -0.33   -0.94  
FORCE    102     10073   0       153.57  -0.20   0.59    0.79   
FORCE    102     12288   0       2.26+03 -0.00   0.35    0.94   
FORCE    102     12303   0       613.66  0.09    -0.39   -0.92  
FORCE    102     10149   0       4.62+03 -0.03   0.32    0.95   
FORCE    102     10089   0       929.05  0.02    -0.33   -0.94  
FORCE    102     10037   0       158.54  -0.23   0.61    0.76   
FORCE    102     12290   0       2.19+03 -0.00   0.35    0.94   
FORCE    102     10113   0       4.67+03 -0.05   0.33    0.94   
FORCE    102     12305   0       734.34  0.08    0.09    0.99   
FORCE    102     10053   0       1.03+03 0.03    -0.34   -0.94  
FORCE    102     12292   0       2.77+03 -0.01   0.36    0.93   
FORCE    102     10001   0       809.81  -0.00   -0.21   -0.98  
FORCE    102     10077   0       3.34+03 -0.04   0.33    0.94   
FORCE    102     12294   0       1.87+03 -0.03   0.38    0.92   
FORCE    102     10017   0       1.18+03 0.04    -0.31   -0.95  
FORCE    102     10002   0       223.21  -0.04   -0.15   -0.99  
FORCE    102     10041   0       4.12+03 -0.05   0.33    0.94   
FORCE    102     12296   0       1.98+03 -0.03   0.38    0.92   
FORCE    102     10018   0       605.62  0.02    -0.30   -0.95  
FORCE    102     10005   0       2.99+03 -0.06   0.32    0.94   
FORCE    102     12298   0       2.40+03 -0.04   0.39    0.92   
FORCE    102     10006   0       2.72+03 -0.02   0.27    0.96   
FORCE    102     12300   0       1.48+03 -0.06   0.40    0.91   
FORCE    102     12302   0       1.64+03 -0.06   0.40    0.91   
FORCE    102     12304   0       2.36+03 -0.07   0.38    0.92   
FORCE    102     12306   0       1.06+03 -0.04   -0.15   -0.99  
